dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
,2023-03-23 06:00:00 +0000 UTC,,11.9,9.8,9.8,11.3,,1014.4,991.3,81,3.29,,100.0,
,2023-03-23 07:00:00 +0000 UTC,,12.0,9.8,9.8,11.3,,1014.2,991.1,81,3.64,,100.0,
,2023-03-23 08:00:00 +0000 UTC,,12.1,9.9,9.8,11.3,,1014.3,991.2,81,3.81,,100.0,
,2023-03-23 09:00:00 +0000 UTC,,12.8,10.9,9.8,11.3,,1014.9,991.8,83,3.71,,100.0,
,2023-03-23 10:00:00 +0000 UTC,,12.7,11.0,9.8,11.3,,1015.0,991.9,89,3.9,,100.0,
,2023-03-23 11:00:00 +0000 UTC,,13.1,11.0,9.8,11.3,,1014.9,991.8,89,4.74,,100.0,
,2023-03-23 12:00:00 +0000 UTC,,13.2,10.7,9.8,11.3,,1015.2,992.1,88,5.47,,100.0,
,2023-03-23 13:00:00 +0000 UTC,,13.2,11.0,9.8,11.3,,1014.8,991.8,91,5.1,,100.0,
,2023-03-23 14:00:00 +0000 UTC,,13.5,10.8,9.8,11.3,,1014.3,991.3,91,6.46,,100.0,
,2023-03-23 15:00:00 +0000 UTC,,13.9,11.2,9.8,11.3,,1014.2,991.2,90,6.45,,100.0,
,2023-03-23 16:00:00 +0000 UTC,,13.4,11.0,9.8,11.3,,1014.2,991.2,91,5.87,,100.0,
,2023-03-23 17:00:00 +0000 UTC,,13.4,11.3,9.8,11.3,,1014.2,991.2,92,5.2,,100.0,
,2023-03-23 18:00:00 +0000 UTC,,13.2,11.0,9.8,11.3,,1014.3,991.3,93,5.35,,100.0,
,2023-03-23 19:00:00 +0000 UTC,,13.0,10.7,9.8,11.3,,1014.3,991.2,93,5.51,,100.0,
,2023-03-23 20:00:00 +0000 UTC,,13.0,10.9,9.8,11.3,,1014.7,991.6,93,5.19,,100.0,
,2023-03-23 21:00:00 +0000 UTC,,12.9,10.8,9.8,11.3,,1015.5,992.4,94,5.29,,100.0,
,2023-03-23 22:00:00 +0000 UTC,,12.4,10.6,9.8,11.3,,1015.8,992.7,97,4.53,,100.0,
