Company Name,Model Name,Model Year,Kilometers,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Price,Mapped_colors
28,53,2008,128747,2,1300,1,4,1,0,1080000,2
28,132,2011,118286,2,2700,0,3,0,0,12000000,2
28,15,2013,143231,1,1500,0,1,0,0,2225000,2
20,26,1991,321868,2,2000,0,4,0,0,775000,0
10,49,1998,160934,2,1600,1,4,0,0,900000,0
28,123,2017,56327,2,1000,0,1,0,1,2300000,2
27,183,2017,82076,2,1000,1,1,1,0,1485000,0
27,14,2009,144840,2,1000,1,1,1,0,625000,2
10,49,1999,241401,2,1600,1,4,1,0,940000,2
28,182,2015,225308,1,1800,0,2,0,1,4000000,0
20,26,2008,136794,2,1800,0,4,0,0,4000000,2
28,107,2009,270348,2,3500,0,4,0,1,5600000,0
28,53,2018,85666,2,1300,1,4,0,0,2840000,0
28,53,2014,112654,2,1600,1,4,0,0,2530000,2
27,183,2012,198670,2,660,0,1,0,0,1430000,0
28,132,2002,122310,2,2700,0,3,0,0,5400000,0
10,48,2019,33179,2,1300,1,4,1,0,2400000,0
10,49,2018,9133,2,1800,1,4,0,1,3900000,0
10,48,2008,193121,2,1300,1,4,0,0,1495000,0
27,108,2016,177027,2,800,1,1,1,0,885000,2
7,59,2005,136794,2,800,1,1,1,0,570000,2
20,26,2013,88513,1,2400,0,4,0,0,7500000,1
27,108,2018,53913,2,800,1,1,1,0,890000,0
28,128,2002,160934,2,1000,0,4,0,0,1200000,0
27,183,2018,70811,2,1000,1,1,1,0,1530000,0
1,6,2013,48280,2,3000,0,3,0,0,17500000,2
27,23,2004,284853,2,1300,1,4,1,0,580000,2
27,94,1998,172199,2,1000,1,1,1,0,330000,2
28,135,2010,222089,1,1800,0,4,0,0,2050000,1
10,48,2014,143231,2,1300,1,4,1,0,1725000,0
27,108,2018,48280,2,800,1,1,1,0,900000,3
28,15,2013,170590,2,1500,0,1,0,0,1955000,2
10,48,2018,41842,2,1300,1,4,1,0,1344000,0
28,53,2009,205996,2,1300,1,4,1,0,1600000,2
28,53,2016,216456,2,1600,1,4,0,0,2650000,0
28,25,2006,241401,2,1000,0,4,0,0,1250000,2
27,58,2018,63569,2,1000,1,1,1,0,1700000,0
27,108,2006,152887,2,800,1,1,1,0,370000,3
27,14,2012,112654,2,1000,1,1,1,0,895000,1
27,108,2013,128747,2,800,1,1,1,0,575000,2
27,183,2018,23813,2,1000,1,1,1,0,1600000,0
10,49,2013,183465,2,1800,1,4,0,0,2370000,2
10,49,2013,88513,2,1800,1,4,0,0,2075000,2
10,49,2015,201168,2,1800,1,4,0,0,2125000,0
20,26,1993,193121,2,3200,0,4,0,0,2350000,0
28,133,2007,203514,2,1800,0,4,0,0,2450000,3
10,179,2015,118663,2,1500,0,0,0,0,3495000,0
28,135,2017,84477,1,1800,0,4,0,1,6400000,0
28,53,2016,74597,2,1300,1,4,1,0,2250000,2
10,48,2018,38624,2,1300,1,4,0,0,2400000,2
27,108,2017,48280,2,800,1,1,1,0,900000,2
28,53,2011,136794,2,1300,1,4,1,0,1550000,2
28,53,2018,62764,2,1300,1,4,1,0,2700000,2
28,135,2014,137309,2,1800,0,4,0,0,3540000,0
28,53,2006,482803,2,1300,1,4,1,0,1050000,2
27,14,2007,160934,2,1000,1,1,1,0,620000,0
10,48,2004,241401,2,1300,1,4,1,0,820000,0
27,29,2017,109435,2,800,1,5,1,0,900000,0
10,49,2018,28968,2,1800,1,4,0,0,3800000,2
28,53,2007,273588,2,1500,0,4,0,0,2100000,0
27,183,2017,160934,2,660,0,1,1,0,1295000,3
27,108,2008,86904,2,800,1,1,1,0,600000,1
28,73,2016,88513,2,2700,1,3,0,0,6900000,2
10,179,2015,91732,1,1500,0,0,0,0,3800000,2
27,23,2004,205773,2,1300,1,4,1,0,550000,0
27,58,2007,160934,2,1000,1,1,1,0,615000,2
28,53,2017,57936,2,1300,1,4,1,0,2540000,2
27,58,2008,159325,2,1000,1,1,1,0,749000,0
28,99,2001,188293,0,4164,0,3,0,0,4500000,2
28,53,2016,112654,2,1800,1,4,0,0,2650000,0
10,179,2016,30577,1,1500,0,0,0,1,4610000,2
27,103,2012,331927,2,660,0,2,0,0,1125000,3
27,168,2012,136794,2,1300,1,1,0,0,1375000,1
28,135,2017,32186,2,1800,0,4,0,1,4850000,2
10,49,2018,30379,2,1800,1,4,0,0,3650000,2
10,49,2013,209214,2,1800,1,4,0,0,2235000,2
28,181,2013,146509,2,1000,0,1,0,0,1785000,0
27,29,2018,44256,2,800,1,5,1,0,980000,0
28,123,2016,52092,2,1000,0,1,0,0,2325000,2
10,48,2006,234964,2,1300,1,4,1,0,1080000,0
10,49,2010,188293,2,1800,1,4,0,0,1650000,2
28,53,2015,123436,2,1800,1,4,0,0,2700000,0
28,53,2004,321868,0,2000,1,4,1,0,1050000,0
7,59,2005,106039,2,800,1,1,1,0,495000,3
27,58,2018,37014,2,1000,1,1,1,0,1615000,2
28,181,2008,225308,2,1000,0,1,0,0,1320000,2
27,14,2010,90123,2,1000,1,1,1,0,730000,2
28,135,2016,101639,1,1800,0,4,0,0,4800000,0
28,53,2016,83685,2,1800,1,4,0,0,2900000,0
7,171,1997,199558,2,1300,0,3,1,0,950000,1
28,167,1993,241401,0,2700,0,3,0,0,1650000,2
28,135,2011,183465,2,1800,0,4,0,0,2320000,1
28,53,2015,157715,2,1300,1,4,0,0,2195000,3
27,58,2008,90123,2,1000,1,1,1,0,665000,2
28,15,2016,130356,1,1500,0,1,0,1,2875000,0
28,53,2015,82076,2,1300,1,4,1,0,1815000,0
10,48,2003,198683,2,1300,1,4,0,0,990000,2
27,168,2017,90123,2,1300,1,1,1,0,1570000,3
28,53,2010,151278,2,1800,1,4,0,0,1700000,3
28,57,2004,241401,2,3000,0,4,0,0,4000000,0
10,49,2013,144840,2,1800,1,4,0,0,1995000,2
28,135,2015,102998,2,1800,0,4,0,0,3030000,0
10,49,2019,16093,2,1800,1,4,0,0,4000000,3
27,183,2016,119091,2,1000,1,1,1,0,1310000,2
10,48,2018,56327,2,1500,1,4,1,0,2400000,2
27,183,2014,152887,2,1000,1,1,1,0,1200000,2
28,181,2016,105579,2,1000,0,1,0,1,2300000,2
28,128,2001,357274,2,1000,0,4,0,0,865000,1
10,49,2013,225308,2,1800,1,4,0,0,2250000,0
10,114,2015,79984,2,660,0,1,0,0,1725000,2
28,53,2006,153692,2,1300,1,4,1,0,1100000,0
10,48,2011,160934,2,1300,1,4,1,0,1425000,3
28,53,2009,1586169,2,1300,1,4,1,0,1300000,0
28,53,2011,241401,0,2000,0,4,1,0,1850000,2
10,49,2009,120700,2,1800,1,4,0,0,1400000,2
10,48,2014,273588,2,1300,1,4,1,0,1730000,2
28,53,2017,56327,2,1800,1,4,0,0,3100000,2
27,168,2018,24140,2,1300,1,1,0,0,1800000,2
28,123,2016,37014,2,1000,0,1,0,1,2250000,0
28,53,2018,6437,2,1600,1,4,0,0,3225000,0
28,15,2016,46978,1,1500,0,1,0,1,2850000,2
27,58,2006,125528,2,1000,1,1,1,0,635000,3
28,123,2016,13946,2,1000,0,1,0,1,2200000,1
10,179,2015,65870,2,1500,0,0,0,1,3900000,2
12,151,2006,185074,2,1086,1,1,1,0,675000,2
28,53,2016,124632,1,1500,0,4,0,1,3655000,0
10,49,2017,80467,2,1800,1,4,0,0,3300000,0
28,181,2007,152887,2,1000,0,1,0,0,1190000,1
28,135,2016,190765,2,1800,0,4,0,1,4700000,2
27,168,2013,111044,2,1300,1,1,0,0,1450000,2
10,49,2005,319132,2,1500,1,4,1,0,975000,2
7,110,2014,127138,2,660,0,1,0,0,1600000,2
28,128,2007,158520,2,1000,0,4,0,0,950000,3
27,108,2016,57292,2,800,1,1,1,0,795000,0
27,168,2012,73905,2,1300,1,1,1,0,1350000,0
28,53,2013,75639,2,1300,1,4,1,0,1850000,2
10,48,2016,84651,2,1300,1,4,1,0,2125000,0
10,48,2014,88513,2,1300,1,4,1,0,1750000,2
28,53,2016,141622,2,1800,1,4,0,0,2640000,0
28,133,2007,289681,2,1800,0,4,0,0,2880000,2
10,49,2016,80467,2,1800,1,4,0,0,3000000,2
27,108,1992,198683,2,800,1,1,1,0,160000,0
27,108,2015,128747,2,800,1,1,1,0,650000,0
27,108,2006,157715,2,800,1,1,1,0,470000,0
10,48,1998,321868,2,1500,1,4,1,0,650000,3
27,168,2016,179585,2,1300,1,1,1,0,1490000,0
27,58,2008,104607,2,1000,1,1,1,0,695000,0
28,99,2013,115872,2,4608,0,3,0,0,22000000,2
10,49,2017,65178,2,1800,1,4,0,0,3350000,2
10,114,2017,64373,2,660,0,1,0,1,2150000,4
7,30,2017,57131,2,1000,0,1,0,1,2075000,3
10,49,2017,53108,2,1800,1,4,0,0,3380000,2
28,132,2013,134211,2,2700,0,3,0,0,13900000,0
